fit_results/data/all_states.list_sd_03150903.log>>> Loading state data: AL <<<
>>> Loading state data: AR <<<
>>> Loading state data: AZ <<<
>>> Loading state data: CA <<<
>>> Loading state data: CO <<<
>>> Loading state data: CT <<<
>>> Loading state data: DC <<<
>>> Loading state data: DE <<<
>>> Loading state data: FL <<<
>>> Loading state data: GA <<<
>>> Loading state data: IA <<<
>>> Loading state data: ID <<<
>>> Loading state data: IL <<<
>>> Loading state data: IN <<<
>>> Loading state data: KS <<<
>>> Loading state data: KY <<<
>>> Loading state data: LA <<<
>>> Loading state data: MA <<<
>>> Loading state data: MD <<<
>>> Loading state data: ME <<<
>>> Loading state data: MI <<<
>>> Loading state data: MN <<<
>>> Loading state data: MO <<<
>>> Loading state data: MS <<<
>>> Loading state data: MT <<<
>>> Loading state data: NC <<<
>>> Loading state data: ND <<<
>>> Loading state data: NE <<<
>>> Loading state data: NH <<<
>>> Loading state data: NJ <<<
>>> Loading state data: NM <<<
>>> Loading state data: NV <<<
>>> Loading state data: NY <<<
>>> Loading state data: OH <<<
>>> Loading state data: OK <<<
>>> Loading state data: OR <<<
>>> Loading state data: PA <<<
>>> Loading state data: RI <<<
>>> Loading state data: SC <<<
>>> Loading state data: SD <<<
>>> Loading state data: TN <<<
>>> Loading state data: TX <<<
>>> Loading state data: UT <<<
>>> Loading state data: VA <<<
>>> Loading state data: WA <<<
>>> Loading state data: WI <<<
>>> Loading state data: WV <<<
 [1]   0.5000000   0.5000000   0.5000000   0.5000000   0.5000000   0.5000000
 [7]   0.5000000   0.5000000   0.5000000   0.8262688   0.6006879 -16.0066679
[13] -26.4593566   0.3891786
96 cores seen; limit to 24 cores
>> sd Resamp 1 : 23 31 32 21 30 43 19 47 24 40 2 44 33 35 28 20 16 39 34 42 23 23 10 1 24 3 34 35 47 25 30 23 28 41 30 32 6 12 7 2 15 16 30 44 30 32 8 
>> Opt param @ resamp: 105829.8 
S=17, K=3, p=0.1663, w0=0.7213, w1=0.7213, c.p=1.193, c.g=1.193
v.max=NA, d=3.742, vectorize=FALSE, hybrid=off
It 5: fitness=131500
It 10: fitness=131500
It 15: fitness=131500
It 20: fitness=131500
It 25: fitness=120600
It 30: fitness=120600
It 35: fitness=120600
It 40: fitness=120600
It 45: fitness=120400
It 50: fitness=120400
It 55: fitness=120400
It 60: fitness=120400
It 65: fitness=120400
It 70: fitness=120400
It 75: fitness=120400
It 80: fitness=120400
It 85: fitness=120400
It 90: fitness=120400
It 95: fitness=120200
It 100: fitness=120200
It 105: fitness=120200
It 110: fitness=120100
It 115: fitness=120100
It 120: fitness=120100
It 125: fitness=120100
It 130: fitness=120100
It 135: fitness=119900
It 140: fitness=119900
It 145: fitness=119500
It 150: fitness=117800
It 155: fitness=110700
It 160: fitness=110200
It 165: fitness=110200
It 170: fitness=110100
It 175: fitness=109200
It 180: fitness=109000
It 185: fitness=109000
It 190: fitness=108200
It 195: fitness=108200
It 200: fitness=108200
It 205: fitness=108100
It 210: fitness=105900
It 215: fitness=105900
It 220: fitness=105000
It 225: fitness=105000
It 230: fitness=104700
It 235: fitness=104600
It 240: fitness=104500
It 245: fitness=104100
It 250: fitness=103300
It 255: fitness=103300
It 260: fitness=103200
It 265: fitness=103200
It 270: fitness=103100
It 275: fitness=103100
It 280: fitness=103000
It 285: fitness=103000
It 290: fitness=102900
It 295: fitness=102500
It 300: fitness=102500
It 305: fitness=102500
It 310: fitness=102500
It 315: fitness=102500
It 320: fitness=102500
It 325: fitness=102400
It 330: fitness=102400
It 335: fitness=102400
It 340: fitness=102300
It 345: fitness=102300
It 350: fitness=102300
It 355: fitness=102200
It 360: fitness=102200
It 365: fitness=102100
It 370: fitness=102100
It 375: fitness=102100
It 380: fitness=102100
It 385: fitness=102000
It 390: fitness=102000
It 395: fitness=102000
It 400: fitness=102000
It 405: fitness=101900
It 410: fitness=101900
It 415: fitness=101900
It 420: fitness=101900
It 425: fitness=101900
It 430: fitness=101900
It 435: fitness=101900
It 440: fitness=101900
It 445: fitness=101900
It 450: fitness=101900
It 455: fitness=101900
It 460: fitness=101900
It 465: fitness=101900
It 470: fitness=101900
It 475: fitness=101900
